speciesID	GBIF	species
290307346	urn:lsid:faunaeur.org:taxname:194388	Allygidius commutatus
290308575	urn:lsid:faunaeur.org:taxname:452021	Phytocoris varipes
290310057	urn:lsid:faunaeur.org:taxname:54834	Callipterinella minutissima
290308656	urn:lsid:faunaeur.org:taxname:303204	Hyperdiplosis bryanti
290308539	urn:lsid:faunaeur.org:taxname:452968	Scolopostethus decoratus
290307395	urn:lsid:faunaeur.org:taxname:194580	Paralimnus phragmitis
290307362	urn:lsid:faunaeur.org:taxname:193808	Doratura homophyla
290310122	urn:lsid:faunaeur.org:taxname:54896	Chaetosiphon tetrarhodum
290307356	urn:lsid:faunaeur.org:taxname:195047	Chlorita viridula
290310117	urn:lsid:faunaeur.org:taxname:54416	Anuraphis farfarae
290308495	urn:lsid:faunaeur.org:taxname:431749	Triodia sylvina
290307429	urn:lsid:faunaeur.org:taxname:242861	Phyllotreta vittula
290308565	urn:lsid:faunaeur.org:taxname:451274	Megalocoleus tanaceti
290307396	urn:lsid:faunaeur.org:taxname:194044	Platymetopius major
290310811	urn:lsid:faunaeur.org:taxname:56030	Sipha elegans
290307202	urn:lsid:faunaeur.org:taxname:451479	Campylomma verbasci
290310128	urn:lsid:faunaeur.org:taxname:55464	Macrosiphoniella millefolii
290309376	urn:lsid:faunaeur.org:taxname:56208	Toxoptera aurantii
290310064	urn:lsid:faunaeur.org:taxname:55246	Eucallipterus tiliae
290307373	urn:lsid:faunaeur.org:taxname:195365	Eupteryx notata
290309635	urn:lsid:faunaeur.org:taxname:55636	Myzocallis castanicola
290307137	urn:lsid:faunaeur.org:taxname:89655	Limothrips cerealium
290310036	urn:lsid:faunaeur.org:taxname:54677	Aphis verbasci
290311102	urn:lsid:faunaeur.org:taxname:302239	Micromya lucorum
290309611	urn:lsid:faunaeur.org:taxname:453545	Parapiesma quadratum
290309803	urn:lsid:faunaeur.org:taxname:406306	Delia frontella
290307801	urn:lsid:faunaeur.org:taxname:242907	Neocrepidodera ferruginea
290307721	urn:lsid:faunaeur.org:taxname:89972	Thrips flavus
290307852	urn:lsid:faunaeur.org:taxname:377330	Brassicogethes aeneus
290310048	urn:lsid:faunaeur.org:taxname:54332	Acyrthosiphon lactucae
290309599	urn:lsid:faunaeur.org:taxname:453649	Rhopalus parumpunctatus
290309813	urn:lsid:faunaeur.org:taxname:406629	Pegomya deprimata
290308588	urn:lsid:faunaeur.org:taxname:450697	Tingis ampliata
290307716	urn:lsid:faunaeur.org:taxname:90374	Haplothrips setiger
290309572	urn:lsid:faunaeur.org:taxname:453633	Corizus hyoscyami
290307388	urn:lsid:faunaeur.org:taxname:193717	Macrosteles sexnotatus
290310127	urn:lsid:faunaeur.org:taxname:55341	Hyperomyzus lampsanae
290308117	urn:lsid:faunaeur.org:taxname:229523	Xenotarsonemus belemnitoides
